entry_id,contest_id,contest_name,PG,PG,SG,SG,SF,SF,PF,PF,C,,Instructions
29483-9642,PG,Russell,29483-14496,29483-80809,Shoulder,,,
29483-9646,SF,Kevin,29483-19456,29483-80809,,,,
29483-9524,PG,Stephen,29483-14496,29483-19456,29483-80809,,,,
29483-12332,PG,John,29483-14496,29483-80809,,,,
29483-12341,SF,Paul,29483-14496,29483-80809,,,,
29483-66113,SG,Donovan,29483-14496,29483-80809,,,,
29483-58460,SG,Devin,29483-14496,29483-80809,Hamstring,,,
29483-40203,C,Rudy,29483-14496,,,,
29483-15595,SG,Bradley,29483-14496,29483-80809,,,,
29483-84673,C,Deandre,29483-14496,29483-80809,,,,
