PG,PG,SG,SG,SF,SF,PF,PF,C
29551-9623,29551-9466,29551-9556,29551-9662,29551-23572,29551-23716,29551-14518,29551-41594,29551-9581
29551-14498,29551-9466,29551-9556,29551-9662,29551-9809,29551-23716,29551-14518,29551-41594,29551-49111
29551-9623,29551-14498,29551-9556,29551-15559,29551-9809,29551-23716,29551-41594,29551-80815,29551-14514
29551-9623,29551-9466,29551-9556,29551-23096,29551-23572,29551-23716,29551-14518,29551-41594,29551-9453
29551-9623,29551-14498,29551-40201,29551-9662,29551-9809,29551-23716,29551-14518,29551-41594,29551-9453
29551-9623,29551-14498,29551-9556,29551-9662,29551-9849,29551-58153,29551-14518,29551-41594,29551-9453
29551-14498,29551-9466,29551-9556,29551-9662,29551-9809,29551-23716,29551-14518,29551-41594,29551-49111
29551-9623,29551-14498,29551-9556,29551-15559,29551-9809,29551-23716,29551-41594,29551-80815,29551-14514
29551-9623,29551-14498,29551-9556,29551-9662,29551-9809,29551-23716,29551-14518,29551-80815,29551-14514
29551-9623,29551-9466,29551-9556,29551-23096,29551-23572,29551-23716,29551-14518,29551-41594,29551-9453
