entry_id,contest_id,contest_name,PG,PG,SG,SG,SF,SF,PF,PF,C,,Instructions
29822-9642,PG,Russell,29822-9475,29822-12443,29822-16405,29822-40206,29822-12341,29822-14522,29822-15755,29822-59358,29822-58253,Ankle,,,
29822-15755,PF,Anthony,29822-9455,29822-12443,29822-16405,29822-40206,29822-12341,29822-14522,29822-15755,29822-66048,29822-58253,,,,
29822-49111,C,Joel,29822-9535,29822-9475,29822-16405,29822-40206,29822-12341,29822-14543,29822-15755,29822-59358,29822-58253,,,,
29822-9488,SF,LeBron,29822-9455,29822-9475,29822-16405,29822-20640,29822-14522,29822-16233,29822-15755,29822-66048,29822-58253,,,,
29822-12341,SF,Paul,29822-9455,29822-12443,29822-20640,29822-40206,29822-12341,29822-14522,29822-15755,29822-59358,29822-58253,,,,
29822-14513,SF,Kawhi,29822-9535,29822-9475,29822-16405,29822-40206,29822-12341,29822-14543,29822-15755,29822-59358,29822-58253,Foot,,,
29822-15557,C,Andre,29822-9455,29822-9475,29822-16405,29822-20640,29822-14522,29822-16233,29822-15755,29822-66048,29822-58253,,,,
29822-9560,PF,Blake,29822-9535,29822-9475,29822-16405,29822-20640,29822-12341,29822-14522,29822-59358,29822-66048,29822-58253,,,,
29822-66115,PG,Ben,29822-9455,29822-9475,29822-16405,29822-20640,29822-14522,29822-16233,29822-15755,29822-66048,29822-58253,,,,
29822-58462,C,Karl-Anthony,29822-9455,29822-9475,29822-16405,29822-12341,29822-14543,29822-15755,29822-59358,29822-42669,,,,
