"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"30347-15755","PF","Anthony","Anthony Davis","Davis","59.98571341378348","14","12200","NO@PHI","NO","PHI","","","","",""
"30347-9488","SF","LeBron","LeBron James","James","52.131248474121094","16","11500","LAL@CLE","LAL","CLE","","","","",""
"30347-40199","SF","Giannis","Giannis Antetokounmpo","Antetokounmpo","52.9","15","11400","POR@MIL","MIL","POR","","","","",""
"30347-49111","C","Joel","Joel Embiid","Embiid","53.91052888569079","19","11200","NO@PHI","PHI","NO","","","","",""
"30347-9644","SG","James","James Harden","Harden","49.133331298828125","12","11100","DET@HOU","HOU","DET","","","","",""
"30347-9642","PG","Russell","Russell Westbrook","Westbrook","51.337501525878906","8","11000","OKC@GS","OKC","GS","","","","",""
"30347-9646","SF","Kevin","Kevin Durant","Durant","47.349999321831596","18","10700","OKC@GS","GS","OKC","","","","",""
"30347-58462","C","Karl-Anthony","Karl-Anthony Towns","Towns","42.376472024356616","17","10000","DEN@MIN","MIN","DEN","","","","",""
"30347-15557","C","Andre","Andre Drummond","Drummond","46.56428745814732","14","10000","DET@HOU","DET","HOU","","","","",""
"30347-14513","SF","Kawhi","Kawhi Leonard","Leonard","42.9923095703125","13","9800","TOR@ATL","TOR","ATL","O","Rest","","",""
"30347-66115","PG","Ben","Ben Simmons","Simmons","40.45555623372396","18","9700","NO@PHI","PHI","NO","","","","",""
"30347-9524","PG","Stephen","Stephen Curry","Curry","45.625","12","9500","OKC@GS","GS","OKC","O","Groin","","",""
"30347-20848","PG","Damian","Damian Lillard","Lillard","43.21764777688419","17","9400","POR@MIL","POR","MIL","","","","",""
"30347-14507","PG","Kemba","Kemba Walker","Walker","45.79375076293945","16","9300","IND@CHA","CHA","IND","","","","",""
"30347-55062","C","Nikola","Nikola Jokic","Jokic","43.73529411764706","17","9300","DEN@MIN","DEN","MIN","","","","",""
"30347-9560","PF","Blake","Blake Griffin","Griffin","45.22857230050223","14","9200","DET@HOU","DET","HOU","","","","",""
"30347-14498","PG","Kyrie","Kyrie Irving","Irving","41.631248474121094","16","9000","NY@BOS","BOS","NY","","","","",""
"30347-9581","C","Marc","Marc Gasol","Gasol","40.599998474121094","16","9000","MEM@SA","MEM","SA","","","","",""
"30347-12341","SF","Paul","Paul George","George","46.54375076293945","16","8900","OKC@GS","OKC","GS","","","","",""
"30347-9535","PG","Kyle","Kyle Lowry","Lowry","37.92777845594618","18","8900","TOR@ATL","TOR","ATL","","","","",""
"30347-15684","SG","Victor","Victor Oladipo","Oladipo","40.35625076293945","16","8900","IND@CHA","IND","CHA","O","Knee","","",""
"30347-9663","SG","Jrue","Jrue Holiday","Holiday","42.017646340762866","17","8800","NO@PHI","NO","PHI","","","","",""
"30347-9623","PG","Chris","Chris Paul","Paul","40.28461632361779","13","8700","DET@HOU","HOU","DET","","","","",""
"30347-9714","SG","DeMar","DeMar DeRozan","DeRozan","43.4375","16","8700","MEM@SA","SA","MEM","","","","",""
"30347-14528","SG","Jimmy","Jimmy Butler","Butler","39.32142857142857","14","8400","NO@PHI","PHI","NO","","","","",""
"30347-55059","C","Clint","Clint Capela","Capela","36.973331705729166","15","8400","DET@HOU","HOU","DET","","","","",""
"30347-40783","SG","Zach","Zach LaVine","LaVine","39.212501525878906","16","8300","PHO@CHI","CHI","PHO","GTD","Illness","","",""
"30347-9575","PG","Mike","Mike Conley","Conley","34.26250076293945","16","8200","MEM@SA","MEM","SA","","","","",""
"30347-9688","PF","LaMarcus","LaMarcus Aldridge","Aldridge","37.025001525878906","16","8000","MEM@SA","SA","MEM","","","","",""
"30347-58460","SG","Devin","Devin Booker","Booker","38.06153752253606","13","7900","PHO@CHI","PHO","CHI","","","","",""
"30347-40203","C","Rudy","Rudy Gobert","Gobert","39.96470731847427","17","7900","SAC@UTA","UTA","SAC","","","","",""
"30347-55057","C","Jusuf","Jusuf Nurkic","Nurkic","35.482353659237134","17","7700","POR@MIL","POR","MIL","","","","",""
"30347-14522","SF","Nikola","Nikola Mirotic","Mirotic","37.38666585286458","15","7600","NO@PHI","NO","PHI","","","","",""
"30347-66113","SG","Donovan","Donovan Mitchell","Mitchell","33.55333251953125","15","7600","SAC@UTA","UTA","SAC","","","","",""
"30347-84669","SG","Luka","Luka Doncic","Doncic","33.04999923706055","16","7600","BKN@DAL","DAL","BKN","","","","",""
"30347-9561","C","DeAndre","DeAndre Jordan","Jordan","33.631248474121094","16","7500","BKN@DAL","DAL","BKN","","","","",""
"30347-15846","SG","Tim","Tim Hardaway Jr.","Hardaway Jr.","34.799998563878674","17","7500","NY@BOS","NY","BOS","","","","",""
"30347-60021","PF","Pascal","Pascal Siakam","Siakam","29.53333197699653","18","7500","TOR@ATL","TOR","ATL","","","","",""
"30347-42669","C","Julius","Julius Randle","Randle","33.5","17","7500","NO@PHI","NO","PHI","","","","",""
"30347-80810","PG","De'Aaron","De'Aaron Fox","Fox","35.911764705882355","17","7500","SAC@UTA","SAC","UTA","","","","",""
"30347-58312","SG","D'Angelo","D'Angelo Russell","Russell","32.838887532552086","18","7400","BKN@DAL","BKN","DAL","","","","",""
"30347-12355","PG","Eric","Eric Bledsoe","Bledsoe","33.51874923706055","16","7300","POR@MIL","MIL","POR","","","","",""
"30347-23169","C","Steven","Steven Adams","Adams","36.64666748046875","15","7300","OKC@GS","OKC","GS","","","","",""
"30347-84671","PG","Trae","Trae Young","Young","31.42941104664522","17","7300","TOR@ATL","ATL","TOR","","","","",""
"30347-16261","SG","Khris","Khris Middleton","Middleton","34.51250076293945","16","7300","POR@MIL","MIL","POR","","","","",""
"30347-23823","C","Willie","Willie Cauley-Stein","Cauley-Stein","32.02353084788603","17","7100","SAC@UTA","SAC","UTA","","","","",""
"30347-9957","PF","Serge","Serge Ibaka","Ibaka","32.98823457605698","17","7100","TOR@ATL","TOR","ATL","","","","",""
"30347-59358","PF","Domantas","Domantas Sabonis","Sabonis","31.587499618530273","16","7100","IND@CHA","IND","CHA","","","","",""
"30347-66108","PG","Jamal","Jamal Murray","Murray","30.276471306295957","17","7000","DEN@MIN","DEN","MIN","","","","",""
"30347-23120","SF","TJ","TJ Warren","Warren","28.80666707356771","15","7000","PHO@CHI","PHO","CHI","","","","",""
"30347-84673","C","Deandre","Deandre Ayton","Ayton","34.48125076293945","16","7000","PHO@CHI","PHO","CHI","","","","",""
"30347-84683","PF","Jaren","Jaren Jackson Jr.","Jackson Jr.","28.193750381469727","16","7000","MEM@SA","MEM","SA","","","","",""
"30347-14496","PG","Ricky","Ricky Rubio","Rubio","28.729411405675553","17","6900","SAC@UTA","UTA","SAC","","","","",""
"30347-19138","PG","Elfrid","Elfrid Payton","Payton","24.866666158040363","6","6900","NO@PHI","NO","PHI","O","Finger","","",""
"30347-84676","PF","Wendell","Wendell Carter Jr.","Carter Jr.","29.57058895335478","17","6900","PHO@CHI","CHI","PHO","","","","",""
"30347-80808","PF","Jayson","Jayson Tatum","Tatum","30.200001436121322","17","6900","NY@BOS","BOS","NY","","","","",""
"30347-14509","SG","Klay","Klay Thompson","Thompson","31.22777642144097","18","6800","OKC@GS","GS","OKC","","","","",""
"30347-80821","C","Jarrett","Jarrett Allen","Allen","31.956249237060547","16","6800","BKN@DAL","BKN","DAL","","","","",""
"30347-49116","SG","Andrew","Andrew Wiggins","Wiggins","31.03076876126803","13","6800","DEN@MIN","MIN","DEN","","","","",""
"30347-23802","PG","Kris","Kris Dunn","Dunn","20.299999237060547","1","6700","PHO@CHI","CHI","PHO","O","Knee","","",""
"30347-19067","SG","CJ","CJ McCollum","McCollum","30.95294189453125","17","6700","POR@MIL","POR","MIL","","","","",""
"30347-17333","SF","Will","Will Barton","Barton","30","2","6700","DEN@MIN","DEN","MIN","O","Groin","","",""
"30347-20491","SF","Robert","Robert Covington","Covington","28.950000762939453","16","6600","DEN@MIN","MIN","DEN","","","","",""
"30347-23665","SG","Buddy","Buddy Hield","Hield","30.829410328584558","17","6600","SAC@UTA","SAC","UTA","","","","",""
"30347-42156","PF","Bobby","Bobby Portis","Portis","28.75","4","6600","PHO@CHI","CHI","PHO","O","Knee","","",""
"30347-9446","PG","Jeff","Jeff Teague","Teague","29.381819291548297","11","6600","DEN@MIN","MIN","DEN","","","","",""
"30347-9453","C","Al","Al Horford","Horford","29.776471306295957","17","6600","NY@BOS","BOS","NY","GTD","Kneecap","","",""
"30347-15860","PF","Draymond","Draymond Green","Green","31.353846623347355","13","6600","OKC@GS","GS","OKC","O","Toe","","",""
"30347-24544","SF","Gary","Gary Harris","Harris","30.18235150505515","17","6600","DEN@MIN","DEN","MIN","","","","",""
"30347-14516","C","Enes","Enes Kanter","Kanter","32.26666598849826","18","6500","NY@BOS","NY","BOS","","","","",""
"30347-12366","SF","Gordon","Gordon Hayward","Hayward","24.087499618530273","16","6400","NY@BOS","BOS","NY","","","","",""
"30347-9475","PG","Derrick","Derrick Rose","Rose","30.84666748046875","15","6400","DEN@MIN","MIN","DEN","","","","",""
"30347-23572","SF","Taurean","Taurean Prince","Prince","27.435714721679688","14","6300","TOR@ATL","ATL","TOR","","","","",""
"30347-15542","PG","Spencer","Spencer Dinwiddie","Dinwiddie","25.827777438693577","18","6300","BKN@DAL","BKN","DAL","","","","",""
"30347-15559","SG","Jeremy","Jeremy Lamb","Lamb","26.0625","16","6300","IND@CHA","CHA","IND","","","","",""
"30347-66048","PF","Brandon","Brandon Ingram","Ingram","26.23333231608073","12","6300","LAL@CLE","LAL","CLE","","","","",""
"30347-42550","SF","Jabari","Jabari Parker","Parker","26.05294081744026","17","6200","PHO@CHI","CHI","PHO","","","","",""
"30347-14501","C","Tristan","Tristan Thompson","Thompson","27.673333740234376","15","6100","LAL@CLE","CLE","LAL","","","","",""
"30347-19781","SG","Kent","Kent Bazemore","Bazemore","27.935293758616726","17","6100","TOR@ATL","ATL","TOR","","","","",""
"30347-80814","PG","Dennis","Dennis Smith Jr.","Smith Jr.","25.440000406901042","15","6100","BKN@DAL","DAL","BKN","GTD","Wrist","","",""
"30347-40201","SG","Dennis","Dennis Schroder","Schroder","31.818750381469727","16","6000","OKC@GS","OKC","GS","","","","",""
"30347-20992","PF","Larry","Larry Nance Jr.","Nance Jr.","23.369229830228367","13","6000","LAL@CLE","CLE","LAL","","","","",""
"30347-9739","C","JaVale","JaVale McGee","McGee","32.025001525878906","16","6000","LAL@CLE","LAL","CLE","","","","",""
