,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15
0,31257-9644,SG,James,James Harden,Harden,53.21481662326389,27,12400,HOU@MIA,HOU,MIA,,,,,
1,31257-55059,C,Clint,Clint Capela,Capela,39.9066650390625,30,8800,HOU@MIA,HOU,MIA,,,,,
2,31257-9623,PG,Chris,Chris Paul,Paul,37.71199951171875,25,8500,HOU@MIA,HOU,MIA,,,,,
3,31257-14518,PF,Tobias,Tobias Harris,Harris,35.68000081380208,30,8200,DAL@LAC,LAC,DAL,,,,,
4,31257-84669,SG,Luka,Luka Doncic,Doncic,34.432141985212056,28,8200,DAL@LAC,DAL,LAC,,,,,
5,31257-12363,C,Hassan,Hassan Whiteside,Whiteside,39.29166666666666,24,8000,HOU@MIA,MIA,HOU,,,,,
6,31257-16233,SF,Josh,Josh Richardson,Richardson,31.68571472167969,28,7500,HOU@MIA,MIA,HOU,,,,,
7,31257-9561,C,DeAndre,DeAndre Jordan,Jordan,33.43793145541487,29,7200,DAL@LAC,DAL,LAC,GTD,Illness,,,
8,31257-9637,SF,Danilo,Danilo Gallinari,Gallinari,31.217240958378234,29,7000,DAL@LAC,LAC,DAL,,,,,
9,31257-23776,PF,Montrezl,Montrezl Harrell,Harrell,31.30999959309896,30,6800,DAL@LAC,LAC,DAL,,,,,
10,31257-80817,PF,Bam,Bam Adebayo,Adebayo,23.106895709859916,29,5800,HOU@MIA,MIA,HOU,,,,,
11,31257-15946,SF,Harrison,Harrison Barnes,Barnes,26.8239990234375,25,5800,DAL@LAC,DAL,LAC,,,,,
12,31257-9673,PG,Goran,Goran Dragic,Dragic,26.757143293108264,14,5700,HOU@MIA,MIA,HOU,O,Knee,,,
13,31257-84680,PG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,22.15,30,5600,DAL@LAC,LAC,DAL,,,,,
14,31257-22541,PF,Kelly,Kelly Olynyk,Olynyk,20.40714372907366,28,5400,HOU@MIA,MIA,HOU,,,,,
15,31257-80814,PG,Dennis,Dennis Smith Jr.,Smith Jr.,24.776189894903283,21,5400,DAL@LAC,DAL,LAC,O,Wrist,,,
16,31257-58084,SF,Justise,Justise Winslow,Winslow,23.3360009765625,25,5300,HOU@MIA,MIA,HOU,GTD,Ankle,,,
17,31257-66968,SF,Derrick,Derrick Jones Jr.,Jones Jr.,15.731578626130755,19,5200,HOU@MIA,MIA,HOU,,,,,
18,31257-12474,PG,Patrick,Patrick Beverley,Beverley,18.69000040690104,30,5200,DAL@LAC,LAC,DAL,,,,,
19,31257-9662,SG,Lou,Lou Williams,Williams,26.534616323617787,26,5200,DAL@LAC,LAC,DAL,GTD,Hamstring,,,
20,31257-9799,SG,Wesley,Wesley Matthews,Matthews,23.4,25,5100,DAL@LAC,DAL,LAC,,,,,
21,31257-9556,SG,Eric,Eric Gordon,Gordon,21.7296300817419,27,5100,HOU@MIA,HOU,MIA,,,,,
22,31257-16220,SG,Dion,Dion Waiters,Waiters,23.89666748046875,30,4900,HOU@MIA,MIA,HOU,O,Ankle,,,
23,31257-9585,SG,Dwyane,Dwyane Wade,Wade,25.461905343191965,21,4900,HOU@MIA,MIA,HOU,,,,,
24,31257-23407,PF,PJ,P.J. Tucker,Tucker,20.576666259765624,30,4600,HOU@MIA,HOU,MIA,,,,,
25,31257-9495,PG,J.J.,J.J. Barea,Barea,22.684614915114178,26,4500,DAL@LAC,DAL,LAC,GTD,Ankle,,,
26,31257-15744,SG,Rodney,Rodney McGruder,McGruder,22.051724137931036,29,4400,HOU@MIA,MIA,HOU,,,,,
27,31257-9956,SG,Wayne,Wayne Ellington,Ellington,17.494444105360245,18,4300,HOU@MIA,MIA,HOU,,,,,
28,31257-18600,PG,Tyler,Tyler Johnson,Johnson,20.63636363636364,22,4200,HOU@MIA,MIA,HOU,GTD,Head,,,
29,31257-12334,SG,Avery,Avery Bradley,Bradley,14.675000508626304,24,4200,DAL@LAC,LAC,DAL,,,,,
30,31257-17491,SF,James,James Ennis III,Ennis III,15.678261134935465,23,4000,HOU@MIA,HOU,MIA,GTD,Hamstring,,,
31,31257-84690,PG,Jalen,Jalen Brunson,Brunson,11.165384145883412,26,4000,DAL@LAC,DAL,LAC,,,,,
32,31257-16196,PF,Dwight,Dwight Powell,Powell,17.830769465519833,26,3900,DAL@LAC,DAL,LAC,,,,,
33,31257-9966,PF,James,James Johnson,Johnson,15.885713849748885,14,3800,HOU@MIA,MIA,HOU,,,,,
34,31257-9613,PG,Devin,Devin Harris,Harris,13.784210205078125,19,3700,DAL@LAC,DAL,LAC,,,,,
