entry_id,contest_id,contest_name,PG,PG,SG,SG,SF,SF,PF,PF,C,,Instructions
34166-9644,SG,James,34166-66115,34166-14507,34166-17747,34166-42550,34166-84668,34166-66236,34166-67025,34166-14514,,,,
34166-49111,C,Joel,34166-20848,34166-82744,34166-9644,34166-17747,34166-42550,34166-84668,34166-66236,34166-67025,34166-70820,Rest,,,
34166-58460,SG,Devin,34166-14507,34166-82744,34166-9644,34166-42550,34166-84668,34166-66236,34166-67025,34166-70820,,,,
34166-58462,C,Karl-Anthony,34166-14507,34166-82744,34166-9644,34166-42550,34166-84668,34166-66236,34166-67025,34166-70820,,,,
34166-15557,C,Andre,34166-14507,34166-19138,34166-9644,34166-17747,34166-42550,34166-63123,34166-66236,34166-67025,34166-70820,,,,
34166-40203,C,Rudy,34166-20848,34166-66115,34166-84669,34166-12366,34166-63123,34166-66236,34166-67025,34166-70820,,,,
34166-55062,C,Nikola,34166-66115,34166-14507,34166-17747,34166-42550,34166-63123,34166-66236,34166-67025,34166-14514,,,,
34166-20848,PG,Damian,34166-20848,34166-82744,34166-17747,34166-42550,34166-63123,34166-14518,34166-66236,34166-14514,,,,
34166-66115,PG,Ben,34166-20848,34166-14507,34166-17747,34166-42550,34166-84668,34166-41594,34166-67025,34166-14514,,,,
34166-15595,SG,Bradley,34166-14507,34166-82744,34166-9644,34166-42550,34166-84668,34166-66236,34166-67025,34166-70820,,,,
