"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"29270-9642","PG","Russell","Russell Westbrook","Westbrook","53.96543451003087","81","12500","SAC@OKC","OKC","SAC","GTD","Knee","","",""
"29270-9644","SG","James","James Harden","Harden","51.79999923706055","1","11700","HOU@LAC","HOU","LAC","","","","",""
"29270-9646","SF","Kevin","Kevin Durant","Durant","55.95000076293945","2","10400","GS@DEN","GS","DEN","","","","",""
"29270-9524","PG","Stephen","Stephen Curry","Curry","52.45000076293945","2","9800","GS@DEN","GS","DEN","","","","",""
"29270-55062","C","Nikola","Nikola Jokic","Jokic","45.099998474121094","1","9600","GS@DEN","DEN","GS","","","","",""
"29270-12341","SF","Paul","Paul George","George","41.25","2","9200","SAC@OKC","OKC","SAC","","","","",""
"29270-9623","PG","Chris","Chris Paul","Paul","39","1","8700","HOU@LAC","HOU","LAC","","","","",""
"29270-14518","PF","Tobias","Tobias Harris","Harris","43.25","2","8200","HOU@LAC","LAC","HOU","","","","",""
"29270-9874","PF","Kevin","Kevin Love","Love","43.849998474121094","2","8100","ATL@CLE","CLE","ATL","","","","",""
"29270-23823","C","Willie","Willie Cauley-Stein","Cauley-Stein","37.650001525878906","2","7600","SAC@OKC","SAC","OKC","","","","",""
"29270-23169","C","Steven","Steven Adams","Adams","40.900001525878906","2","7500","SAC@OKC","OKC","SAC","","","","",""
"29270-15860","PF","Draymond","Draymond Green","Green","32.95000076293945","2","7400","GS@DEN","GS","DEN","","","","",""
"29270-9729","PF","Paul","Paul Millsap","Millsap","34.20000076293945","1","7300","GS@DEN","DEN","GS","","","","",""
"29270-23572","SF","Taurean","Taurean Prince","Prince","36.75","2","7200","ATL@CLE","ATL","CLE","","","","",""
"29270-66236","PF","John","John Collins","Collins","24.930667317708334","75","7100","ATL@CLE","ATL","CLE","O","Ankle","","",""
"29270-40201","SG","Dennis","Dennis Schroder","Schroder","34","2","7000","SAC@OKC","OKC","SAC","","","","",""
"29270-17333","SF","Will","Will Barton","Barton","32","1","6900","GS@DEN","DEN","GS","","","","",""
"29270-55059","C","Clint","Clint Capela","Capela","21.100000381469727","1","6800","HOU@LAC","HOU","LAC","","","","",""
"29270-63126","SF","Cedi","Cedi Osman","Osman","37.79999923706055","2","6700","ATL@CLE","CLE","ATL","","","","",""
"29270-80810","PG","De'Aaron","De'Aaron Fox","Fox","36.849998474121094","2","6600","SAC@OKC","SAC","OKC","","","","",""
"29270-23665","SG","Buddy","Buddy Hield","Hield","27.299999237060547","2","6500","SAC@OKC","SAC","OKC","","","","",""
"29270-9637","SF","Danilo","Danilo Gallinari","Gallinari","29.799999237060547","2","6500","HOU@LAC","LAC","HOU","","","","",""
"29270-14509","SG","Klay","Klay Thompson","Thompson","18.049999237060547","2","6300","GS@DEN","GS","DEN","","","","",""
"29270-9662","SG","Lou","Lou Williams","Williams","21.200000762939453","2","6200","HOU@LAC","LAC","HOU","","","","",""
"29270-84671","PG","Trae","Trae Young","Young","31.799999237060547","2","6100","ATL@CLE","ATL","CLE","GTD","Elbow","","",""
"29270-24544","SG","Gary","Gary Harris","Harris","26.600000381469727","1","6000","GS@DEN","DEN","GS","","","","",""
"29270-19781","SG","Kent","Kent Bazemore","Bazemore","24.649999618530273","2","5900","ATL@CLE","ATL","CLE","","","","",""
"29270-55060","SG","Bogdan","Bogdan Bogdanovic","Bogdanovic","22.15696233435522","79","5800","SAC@OKC","SAC","OKC","O","Knee","","",""
"29270-66108","PG","Jamal","Jamal Murray","Murray","19.5","1","5800","GS@DEN","DEN","GS","","","","",""
"29270-20992","SF","Larry","Larry Nance Jr.","Nance Jr.","23.718182188091856","66","5700","ATL@CLE","CLE","ATL","GTD","Ankle","","",""
