Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS
2018-11-05,Enes Kanter,6700,NYK,C,CHI,,22.0,78.55,30,215.0,-140,108.75, ,57.65,20.64,29.28,4.37,L,41,8,14,0.5710000000000001,0,1,0.0,7,8,0.875,9,15,24,7,1,0,4,2,23,7,61.3
2018-11-05,Andre Drummond,9200,DET,C,MIA,,31.0,55.19,22,219.5,-180,111.75,111.75,63.11,20.57,43.86,4.77,L,44,11,19,0.579,0,0,,3,9,0.333,11,13,24,3,1,1,4,3,25,6,60.3
2018-11-05,Zach LaVine,8300,CHI,SG,@ NYK,,34.0,47.76,23,215.0,120,106.25, ,61.2,19.44,38.42,4.63,W,49,13,25,0.52,4,10,0.4,11,14,0.7859999999999999,0,4,4,4,3,2,8,1,41,3,58.8
2018-11-05,Karl-Anthony Towns,9400,MIN,C,@ LAC,,34.4,57.13,16,228.0,177,111.5,111.5,71.64,25.87,42.9,4.56,L,36,8,13,0.615,1,3,0.333,3,3,1.0,3,9,12,2,3,4,3,3,20,-5,55.4
2018-11-05,Jamal Murray,7300,DEN,PG,BOS,,35.0,42.42,4,208.0,-130,105.0,105,59.03,22.42,33.77,4.63,W,38,19,30,0.633,5,11,0.455,5,5,1.0,1,4,5,4,0,0,5,1,48,-4,55.0
2018-11-05,Kyrie Irving,7700,BOS,PG,@ DEN,,31.13,39.66,1,208.0,110,103.0,103,62.37,21.5,36.82,4.78,L,34,13,17,0.765,4,6,0.667,1,1,1.0,2,3,5,5,3,1,2,3,31,2,54.5
2018-11-05,Paul George,9600,OKC,SF,NOP,,35.14,47.84,17,238.0,-175,121.0,121,63.62,23.77,40.01,4.17,W,37,6,17,0.353,4,10,0.4,7,7,1.0,2,4,6,8,4,0,1,1,23,4,53.2
2018-11-05,Blake Griffin,9400,DET,PF,MIA,,35.0,43.47,2,219.5,-180,111.75,111.75,69.63,21.04,42.33,4.5,L,40,8,21,0.381,2,8,0.25,6,8,0.75,3,12,15,7,1,0,4,6,24,15,51.5
2018-11-05,James Harden,11100,HOU,SG,@ IND,,35.59,41.31,2,214.5,-105,106.75,106.75,68.02,17.65,50.57,4.56,W,35,7,15,0.467,5,12,0.417,9,9,1.0,0,4,4,6,3,1,5,5,28,6,48.8
2018-11-05,Josh Richardson,7300,MIA,SF,@ DET,,34.0,41.48,7,219.5,157,107.75,107.75,50.5,18.18,31.56,4.32,W,38,11,21,0.524,3,5,0.6,2,2,1.0,2,6,8,4,0,2,1,4,27,-4,47.6
2018-11-05,George Hill,4400,CLE,PG,@ ORL,,23.0,45.33,12,213.0,160,104.25, ,37.4,14.01,20.73,4.71,L,32,10,12,0.833,2,2,1.0,0,0,,0,4,4,6,4,0,2,2,22,7,45.8
2018-11-05,Julius Randle,6300,NOP,C,@ OKC,,24.0,43.17,1,238.0,155,117.0,117,53.84,24.81,28.07,4.46,L,28,10,10,1.0,2,2,1.0,4,4,1.0,1,7,8,1,1,2,1,3,26,2,45.1
2018-11-05,Jrue Holiday,8600,NOP,SG,@ OKC,,36.0,44.52,10,238.0,155,117.0,117,63.24,21.27,38.12,4.43,L,40,8,13,0.615,1,6,0.16699999999999998,5,7,0.7140000000000001,0,4,4,14,0,1,6,4,22,0,44.8
2018-11-05,Tristan Thompson,4900,CLE,C,@ ORL,,29.27,55.03,20,213.0,160,104.25, ,45.5,18.92,29.51,6.02,L,34,9,12,0.75,0,0,,1,3,0.333,6,10,16,4,0,1,3,0,19,8,44.2
2018-11-05,Kyle Lowry,8300,TOR,PG,@ UTA,,34.0,47.01,16,217.0,-130,109.5,109.5,59.29,19.57,37.5,4.52,W,29,5,9,0.556,3,7,0.429,4,4,1.0,2,5,7,11,2,0,4,3,17,29,43.9
2018-11-05,Langston Galloway,3500,DET,SG,MIA,,19.0,39.61,24,219.5,-180,111.75,111.75,30.18,15.1,15.1,4.31,L,35,7,15,0.467,4,9,0.444,3,5,0.6,4,5,9,4,2,0,2,4,21,-3,41.8
2018-11-05,Kevin Durant,10700,GSW,SF,MEM,,33.0,40.98,2,220.5,-2000,117.5, ,70.46,21.2,47.32,4.42,W,32,7,11,0.636,0,1,0.0,8,8,1.0,0,6,6,6,1,0,0,0,22,25,41.2
2018-11-05,Nikola Mirotic,8400,NOP,SF,@ OKC,,30.0,45.88,10,238.0,155,117.0,117,63.46,23.75,33.88,4.03,L,32,5,12,0.417,1,5,0.2,5,6,0.833,2,14,16,0,2,0,1,3,16,0,40.2
2018-11-05,Tobias Harris,7700,LAC,PF,MIN,,34.0,55.38,26,228.0,-210,116.5,116.5,60.98,19.96,38.99,5.06,W,35,8,16,0.5,4,7,0.5710000000000001,2,3,0.667,1,9,10,2,1,0,1,2,22,7,39.0
2018-11-05,Reggie Jackson,5800,DET,PG,MIA,,31.0,59.4,29,219.5,-180,111.75,111.75,48.23,14.08,30.47,5.25,L,38,9,22,0.409,3,9,0.333,4,4,1.0,2,2,4,6,1,0,3,5,25,4,38.8
