Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS
2019-03-04,Julius Randle,9000,NOP,PF,@ UTA,,34.0,33.0,21,231.0,360,110.75, ,71.99,17.7,40.42,4.49,W,39,10,23,0.435,0,2,0.0,10,12,0.833,1,7,8,5,2,1,0,4,30,17,56.1
2019-03-04,Kelly Oubre,7700,PHO,SF,MIL,,33.0,29.75,29,232.5,750,109.5,109.5,51.01,10.67,30.49,3.96,W,33,7,14,0.5,1,3,0.333,12,17,0.706,5,8,13,1,1,3,2,1,27,20,54.1
2019-03-04,Buddy Hield,7600,SAC,SG,NYK,,34.0,20.61,12,229.0,-650,120.0,-1.75,65.61,16.5,38.01,5.0,W,35,9,18,0.5,3,8,0.375,7,7,1.0,2,4,6,7,2,1,2,4,28,10,52.7
2019-03-04,Rajon Rondo,6100,LAL,PG,LAC,,36.0,18.32,3,236.0,-175,119.75,-1.5,58.38,11.07,37.64,6.17,L,38,10,18,0.556,4,10,0.4,0,0,,0,10,10,12,1,0,5,5,24,1,52.0
2019-03-04,DeMar DeRozan,8800,SAS,SG,DEN,,34.0,23.76,5,229.5,-114,115.5,1,74.26,21.53,40.69,4.62,W,37,11,19,0.579,0,0,,2,3,0.667,1,5,6,7,3,1,3,2,24,2,50.7
2019-03-04,Anthony Davis,7600,NOP,PF,@ UTA,,22.0,33.0,21,231.0,360,110.75, ,46.19,15.47,32.99,4.34,W,22,7,14,0.5,1,1,1.0,0,0,,3,8,11,3,3,3,1,2,15,-1,49.7
2019-03-04,LeBron James,12400,LAL,SF,LAC,,38.0,32.28,22,236.0,-175,119.75,-1.5,82.84,33.85,59.17,4.77,L,42,9,18,0.5,1,6,0.16699999999999998,8,12,0.667,0,8,8,6,1,1,2,3,27,-11,49.6
2019-03-04,Giannis Antetokounmpo,12200,MIL,SF,@ PHO,,34.0,37.9,30,232.5,-1100,123.0,123,75.63,31.01,54.02,4.43,L,34,8,14,0.5710000000000001,0,1,0.0,5,10,0.5,2,11,13,6,3,0,6,6,21,-5,48.6
2019-03-04,Rudy Gobert,10300,UTA,C,NOP,,32.0,33.15,21,231.0,-450,120.25,0.5,71.97,23.83,44.29,4.3,L,34,8,11,0.727,0,0,,3,4,0.75,6,13,19,0,0,2,0,3,19,-8,47.8
2019-03-04,Deandre Ayton,8200,PHO,C,MIL,,32.0,25.41,1,232.5,750,109.5,109.5,49.2,20.42,35.14,4.29,W,34,8,13,0.615,0,0,,3,3,1.0,2,10,12,2,0,3,0,5,19,23,45.4
2019-03-04,Allonzo Trier,4200,NYK,SG,@ SAC,,24.0,25.05,13,229.0,500,109.0,-0.75,25.79,14.59,18.42,4.39,L,30,8,16,0.5,3,4,0.75,10,15,0.667,1,7,8,0,2,0,0,3,29,0,44.6
2019-03-04,Patrick Beverley,6000,LAC,PG,@ LAL,,31.0,17.29,1,236.0,150,116.25,-0.5,44.89,9.48,25.29,4.22,W,36,4,8,0.5,3,6,0.5,2,2,1.0,2,7,9,4,5,0,2,2,13,4,42.8
2019-03-04,Derrick White,6200,SAS,PG,DEN,,30.0,19.08,4,229.5,-114,115.5,1,50.27,9.56,28.37,4.58,W,36,4,13,0.308,1,6,0.16699999999999998,2,2,1.0,1,3,4,9,1,3,0,0,11,-13,41.3
2019-03-04,Dennis Smith Jr.,7000,NYK,PG,@ SAC,,28.0,37.15,10,229.0,500,109.0,-0.75,56.28,13.72,31.18,4.45,L,29,8,17,0.471,2,4,0.5,0,0,,2,1,3,5,3,2,3,3,18,-3,41.1
2019-03-04,Jrue Holiday,9200,NOP,SG,@ UTA,,34.0,34.39,3,231.0,360,110.75, ,66.36,19.79,41.32,4.49,W,32,12,23,0.522,4,7,0.5710000000000001,2,2,1.0,0,2,2,4,1,0,1,0,30,-4,40.4
2019-03-04,Nikola Jokic,11200,DEN,C,@ SAS,,34.0,24.3,1,229.5,-100,114.0,0.5,75.52,30.89,51.48,4.6,L,38,10,14,0.7140000000000001,2,2,1.0,0,0,,4,6,10,6,0,0,3,2,22,10,40.0
