Name,Salaries,Team,Position,Opponent,Projected Minues,,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K
D.J. Wilson,3500,MIL,PF,@ ATL,,28.00,33.99,28,232.5,-150,117.75,1.5,51.83,6.48,25.93,7.41
Alex Len,4400,ATL,C,MIL,,28.00,26.41,1,232.5,130,114.75,4,53.53,12.01,29.74,6.76
Kent Bazemore,3700,ATL,SG,MIL,,24.00,25.99,21,232.5,130,114.75,4,42.25,9.01,24.49,6.62
Cheick Diallo,3800,NOP,PF,LAL,,24.00,34.22,26,231,-145,117,117,49.76,7.54,24.89,6.55
Lance Stephenson,4200,LAL,SF,@ NOP,,30.00,29.81,28,231,125,114,114,52.20,11.12,27.13,6.46
Tyler Dorsey,4500,MEM,SG,@ LAC,,35.00,20.88,10,222.5,360,106.5,106.5,47.70,12.74,28.7,6.38
Sterling Brown,4200,MIL,SG,@ ATL,,32.00,20.91,11,232.5,-150,117.75,1.5,41.65,7.77,26.16,6.23
Ersan Ilyasova,3800,MIL,PF,@ ATL,,27.00,33.99,28,232.5,-150,117.75,1.5,41.57,3.97,23.21,6.11
Ryan Broekhoff,3500,DAL,PF,@ OKC,,28.00,26.00,28,218,750,102.75,-2.25,29.82,16.87,21.3,6.09
Reggie Bullock,3500,LAL,SG,@ NOP,,24.00,25.11,14,231,125,114,114,42.30,7.19,21.16,6.05
Christian Wood,5500,NOP,PF,LAL,,32.00,27.74,4,231,-145,117,117,66.47,7.65,33.25,6.05
Devonte' Graham,3800,CHA,PG,@ GSW,,22.00,20.04,10,230,550,109.5,0.75,31.60,17.88,22.57,5.94
Delon Wright,6000,MEM,SG,@ LAC,,35.00,18.13,2,222.5,360,106.5,106.5,54.62,15.51,35.58,5.93
Trey Burke,3500,DAL,PG,@ OKC,,21.00,36.49,8,218,750,102.75,-2.25,36.05,6.08,20.74,5.93
Dirk Nowitzki,3500,DAL,PF,@ OKC,,22.00,29.07,10,218,750,102.75,-2.25,35.59,7.23,19.86,5.67
Justin Jackson,3600,DAL,SF,@ OKC,,28.00,26.00,28,218,750,102.75,-2.25,40.70,5.82,20.36,5.66
Jonas Valanciunas,8500,MEM,C,@ LAC,,33.00,36.12,28,222.5,360,106.5,106.5,84.30,19.02,47.9,5.64
Willy Hernangomez,4200,CHA,C,@ GSW,,20.00,31.76,14,230,550,109.5,0.75,47.02,6.07,23.52,5.6
Rajon Rondo,6300,LAL,PG,@ NOP,,33.00,22.49,22,231,125,114,114,49.00,10.39,35,5.56
Bogdan Bogdanovic,5200,SAC,SG,@ SAS,,33.00,23.19,5,225.5,450,107.5,-1.25,56.82,9.28,28.9,5.56
George Hill,3700,MIL,PG,@ ATL,,23.00,25.47,30,232.5,-150,117.75,1.5,37.53,5.45,20.43,5.52
Mason Plumlee,4800,DEN,C,WAS,,23.00,33.87,23,225.5,-650,118,118,52.75,7.55,26.39,5.5
Kevin Huerter,4300,ATL,SG,MIL,,30.00,22.08,15,232.5,130,114.75,4,32.83,13.62,23.45,5.45
Russell Westbrook,11300,OKC,PG,DAL,,36.00,41.80,28,218,-1100,115.25,-1.75,85.97,33.59,61.41,5.43
Kosta Koufos,3500,SAC,C,@ SAS,,17.00,33.22,22,225.5,450,107.5,-1.25,37.56,4.17,18.79,5.37
Nemanja Bjelica,5000,SAC,SF,@ SAS,,32.00,31.48,21,225.5,450,107.5,-1.25,45.29,11.66,26.75,5.35
Kentavious Caldwell-Pope,5500,LAL,SG,@ NOP,,34.00,21.72,14,231,125,114,114,46.57,13.43,29.25,5.32
DeAndre Bembry,4200,ATL,SF,MIL,,28.00,28.18,28,232.5,130,114.75,4,37.30,5.77,22.02,5.24
Patty Mills,3600,SAS,PG,SAC,,22.00,23.71,27,225.5,-550,118,-0.25,37.56,5.22,18.79,5.22
Tomas Satoransky,5900,WAS,PG,@ DEN,,36.00,36.71,10,225.5,500,107.5,107.5,60.79,10.35,30.7,5.2
Julius Randle,8400,NOP,PF,LAL,,33.00,32.38,20,231,-145,117,117,77.93,19.10,43.61,5.19
Will Barton,5100,DEN,SF,WAS,,29.00,24.86,14,225.5,-650,118,118,45.64,10.26,26.44,5.18
Rudy Gay,6100,SAS,SF,SAC,,29.00,32.84,24,225.5,-550,118,-0.25,55.92,7.48,31.31,5.13
Jerami Grant,6000,OKC,PF,DAL,,33.00,29.20,9,218,-1100,115.25,-1.75,61.29,3.92,30.66,5.11
Paul George,10400,OKC,SF,DAL,,38.00,29.20,9,218,-1100,115.25,-1.75,84.46,24.57,52.95,5.09
Jalen Brunson,5200,DAL,PG,@ OKC,,31.00,20.28,12,218,750,102.75,-2.25,37.02,18.38,26.44,5.08
Monte Morris,4000,DEN,SG,WAS,,24.00,39.42,18,225.5,-650,118,118,28.31,16.96,20.22,5.06
Miles Bridges,5500,CHA,SF,@ GSW,,33.00,31.26,18,230,550,109.5,0.75,38.92,19.32,27.8,5.05
Nikola Jokic,10400,DEN,C,WAS,,34.00,31.72,16,225.5,-650,118,118,74.67,31.64,52.55,5.05
Ian Clark,4500,NOP,SG,LAL,,32.00,23.06,21,231,-145,117,117,43.84,9.64,22.74,5.05
JaVale McGee,8000,LAL,C,@ NOP,,30.00,33.96,24,231,125,114,114,69.13,19.80,40.17,5.02
Steven Adams,6500,OKC,C,DAL,,32.00,31.83,15,218,-1100,115.25,-1.75,55.99,14.87,32.61,5.02
Tim Frazier,3500,MIL,PG,@ ATL,,20.00,25.47,30,232.5,-150,117.75,1.5,34.82,4.55,17.42,4.98
Klay Thompson,7300,GSW,SG,CHA,,35.00,25.52,18,230,-700,120.5,-0.25,61.16,17.09,36.21,4.96
Kenrich Williams,5200,NOP,SF,LAL,,33.00,25.86,20,231,-145,117,117,36.08,14.97,25.77,4.96
Gary Harris,4800,DEN,SF,WAS,,29.00,24.86,14,225.5,-650,118,118,33.24,8.45,23.74,4.95
Buddy Hield,7300,SAC,SG,@ SAS,,36.00,20.53,4,225.5,450,107.5,-1.25,65.52,14.17,36.16,4.95
Jakob Poeltl,4900,SAS,C,SAC,,23.00,31.72,12,225.5,-550,118,-0.25,36.50,9.70,24.06,4.91
Dwayne Bacon,5400,CHA,SG,@ GSW,,34.00,23.14,23,230,550,109.5,0.75,51.91,9.12,26.5,4.91
Dennis Schroder,5400,OKC,SG,DAL,,27.00,41.80,28,218,-1100,115.25,-1.75,43.44,7.26,26.49,4.91
Jabari Parker,6400,WAS,SF,@ DEN,,32.00,31.60,22,225.5,500,107.5,107.5,57.17,5.79,31.29,4.89
Maxi Kleber,5000,DAL,PF,@ OKC,,26.00,27.93,5,218,750,102.75,-2.25,48.78,4.68,24.4,4.88
Patrick Beverley,5600,LAC,PG,MEM,,31.00,18.84,5,222.5,-450,116,116,47.30,10.05,27.15,4.85
Marvin Williams,4700,CHA,PF,@ GSW,,27.00,31.26,18,230,550,109.5,0.75,45.52,5.42,22.77,4.84
Landry Shamet,4000,LAC,PG,MEM,,28.00,21.38,13,222.5,-450,116,116,27.03,11.22,19.31,4.83
Elfrid Payton,7500,NOP,PG,LAL,,34.00,17.73,1,231,-145,117,117,57.06,17.15,36.25,4.83
Pat Connaughton,5100,MIL,SG,@ ATL,,33.00,20.91,11,232.5,-150,117.75,1.5,48.94,6.81,24.48,4.8
Harrison Barnes,5200,SAC,SF,@ SAS,,35.00,31.48,21,225.5,450,107.5,-1.25,39.56,9.73,24.88,4.78
Devin Harris,3500,DAL,PG,@ OKC,,21.00,36.49,8,218,750,102.75,-2.25,33.46,4.18,16.74,4.78
Brook Lopez,6500,MIL,C,@ ATL,,31.00,27.85,4,232.5,-150,117.75,1.5,56.14,12.39,30.98,4.77
Bryn Forbes,4200,SAS,PG,SAC,,27.00,39.58,20,225.5,-550,118,-0.25,32.80,4.85,19.88,4.73
DeMar DeRozan,8900,SAS,SG,SAC,,35.00,24.32,10,225.5,-550,118,-0.25,76.49,22.17,41.91,4.71
LaMarcus Aldridge,9200,SAS,PF,SAC,,33.00,33.62,25,225.5,-550,118,-0.25,62.86,22.91,43.23,4.7
Moritz Wagner,3600,LAL,C,@ NOP,,25.00,32.09,19,231,125,114,114,23.67,13.17,16.91,4.7
Marco Belinelli,3900,SAS,SG,SAC,,23.00,20.85,9,225.5,-550,118,-0.25,30.43,5.35,18.31,4.69
Derrick White,6200,SAS,PG,SAC,,28.00,23.71,27,225.5,-550,118,-0.25,51.21,9.74,28.9,4.66
Paul Millsap,7200,DEN,PF,WAS,,32.00,29.79,12,225.5,-650,118,118,54.62,13.75,33.45,4.65
Montrezl Harrell,7600,LAC,PF,MEM,,29.00,29.83,12,222.5,-450,116,116,61.05,4.20,35.29,4.64
DeMarcus Cousins,8800,GSW,C,CHA,,30.00,34.70,28,230,-700,120.5,-0.25,59.12,22.15,40.86,4.64
Nerlens Noel,3500,OKC,C,DAL,,15.00,31.83,15,218,-1100,115.25,-1.75,32.21,2.60,16.17,4.62
John Collins,7400,ATL,PF,MIL,,30.00,32.96,23,232.5,130,114.75,4,62.26,13.54,34.19,4.62
Thomas Bryant ,7000,WAS,C,@ DEN,,33.00,28.85,8,225.5,500,107.5,107.5,64.41,4.00,32.22,4.6
Troy Brown Jr.,4300,WAS,SF,@ DEN,,27.00,24.67,10,225.5,500,107.5,107.5,27.72,13.76,19.8,4.6
Vince Carter,3900,ATL,SF,MIL,,24.00,22.08,15,232.5,130,114.75,4,35.76,4.47,17.89,4.59
Chandler Parsons,4400,MEM,SF,@ LAC,,24.00,26.50,25,222.5,360,106.5,106.5,40.40,4.32,20.21,4.59
Andre Iguodala,4100,GSW,SG,CHA,,22.00,25.52,18,230,-700,120.5,-0.25,31.37,8.92,18.74,4.57
Bruno Caboclo,5800,MEM,SF,@ LAC,,33.00,20.88,10,222.5,360,106.5,106.5,53.03,9.31,26.53,4.57
Stephen Curry,9800,GSW,PG,CHA,,34.00,35.83,7,230,-700,120.5,-0.25,76.26,18.07,44.73,4.56
Draymond Green,6800,GSW,PF,CHA,,32.00,34.70,28,230,-700,120.5,-0.25,45.48,14.63,30.92,4.55
Willie Cauley-Stein,6700,SAC,C,@ SAS,,32.00,33.22,22,225.5,450,107.5,-1.25,44.53,15.64,30.42,4.54
Johnathan Williams,3600,LAL,PF,@ NOP,,24.00,34.42,29,231,125,114,114,22.78,12.67,16.27,4.52
Jamal Murray,7300,DEN,PG,WAS,,33.00,39.42,18,225.5,-650,118,118,50.27,11.69,32.92,4.51
Kevin Durant,10100,GSW,SF,CHA,,34.00,31.33,19,230,-700,120.5,-0.25,67.46,23.49,45.43,4.5
Terrance Ferguson,3600,OKC,SG,DAL,,33.00,20.83,6,218,-1100,115.25,-1.75,32.36,3.59,16.19,4.5
Dwight Powell,7100,DAL,PF,@ OKC,,31.00,29.07,10,218,750,102.75,-2.25,52.45,13.00,31.56,4.45
Jahlil Okafor,3500,NOP,C,LAL,,16.00,34.22,26,231,-145,117,117,31.16,3.74,15.59,4.45
Davis Bertans,3500,SAS,SF,SAC,,20.00,33.62,25,225.5,-550,118,-0.25,31.06,4.09,15.54,4.44
Stanley Johnson,4300,NOP,SF,LAL,,21.00,25.86,20,231,-145,117,117,36.82,4.22,19.03,4.43
Danilo Gallinari,7500,LAC,SF,MEM,,31.00,29.85,13,222.5,-450,116,116,60.49,12.58,33.02,4.4
Trae Young,8700,ATL,PG,MIL,,35.00,35.30,1,232.5,130,114.75,4,53.44,22.18,38.17,4.39
Jeremy Lamb,5400,CHA,SG,@ GSW,,24.00,28.97,27,230,550,109.5,0.75,47.17,6.87,23.68,4.39
Lou Williams,7600,LAC,SG,MEM,,28.00,21.80,1,222.5,-450,116,116,66.51,7.39,33.27,4.38
De'Aaron Fox,9100,SAC,PG,@ SAS,,35.00,40.94,22,225.5,450,107.5,-1.25,63.00,19.42,39.55,4.35
Kemba Walker,9600,CHA,PG,@ GSW,,36.00,36.57,9,230,550,109.5,0.75,76.25,18.84,41.78,4.35
Shai Gilgeous-Alexander,6000,LAC,PG,MEM,,31.00,18.84,5,222.5,-450,116,116,35.57,14.76,25.41,4.24
Markieff Morris,3500,OKC,PF,DAL,,16.00,30.39,14,218,-1100,115.25,-1.75,29.57,4.23,14.79,4.23
JaMychal Green,4000,LAC,PF,MEM,,16.00,29.83,12,222.5,-450,116,116,33.25,3.34,16.88,4.22
Bradley Beal,9600,WAS,SG,@ DEN,,36.00,23.38,6,225.5,500,107.5,107.5,62.87,20.58,40.43,4.21
Alex Caruso,4100,LAL,PG,@ NOP,,25.00,39.30,17,231,125,114,114,27.41,7.32,17.23,4.2
Dorian Finney-Smith,3500,DAL,SF,@ OKC,,20.00,26.14,24,218,750,102.75,-2.25,27.52,7.49,14.71,4.2
Bonzie Colson,3500,MIL,SF,@ ATL,,20.00,32.35,30,232.5,-150,117.75,1.5,20.52,11.61,14.66,4.19
Bobby Portis,6700,WAS,PF,@ DEN,,27.00,28.85,8,225.5,500,107.5,107.5,47.01,9.90,28.05,4.19
Bismack Biyombo,3500,CHA,C,@ GSW,,16.00,31.76,14,230,550,109.5,0.75,24.60,4.36,14.25,4.07
Jordan McRae,3900,WAS,SG,@ DEN,,22.00,36.71,10,225.5,500,107.5,107.5,31.18,4.46,15.6,4
Justin Holiday,5100,MEM,SG,@ LAC,,33.00,20.88,10,222.5,360,106.5,106.5,35.97,11.64,20.39,4
Ivica Zubac,5100,LAC,C,MEM,,20.00,29.81,7,222.5,-450,116,116,36.13,9.18,19.86,3.89
Shaun Livingston,3500,GSW,PG,CHA,,16.00,20.68,17,230,-700,120.5,-0.25,26.55,3.80,13.28,3.79
Justin Anderson,3500,ATL,SG,MIL,,14.00,28.18,28,232.5,130,114.75,4,24.93,3.78,13.12,3.75
Ivan Rabb,3500,MEM,PF,@ LAC,,15.00,36.12,28,222.5,360,106.5,106.5,25.48,3.53,13.06,3.73
Chasson Randle,3500,WAS,SG,@ DEN,,17.00,36.71,10,225.5,500,107.5,107.5,24.85,2.98,12.43,3.55
Eric Bledsoe,7700,MIL,PG,@ ATL,,26.00,44.55,30,232.5,-150,117.75,1.5,54.28,11.51,27.22,3.54
Kevon Looney,3500,GSW,C,CHA,,12.00,29.59,5,230,-700,120.5,-0.25,23.05,4.23,12.26,3.5
Frank Kaminsky,5000,CHA,PF,@ GSW,,19.00,26.97,3,230,550,109.5,0.75,34.90,3.67,17.46,3.49
Jevon Carter,3500,MEM,PG,@ LAC,,18.00,18.13,2,222.5,360,106.5,106.5,16.66,9.42,11.9,3.4
Malik Beasley,3700,DEN,SG,WAS,,17.00,25.17,15,225.5,-650,118,118,24.85,3.55,12.43,3.36
Dairis Bertans,3500,NOP,SG,LAL,,15.00, , ,231,-145,117,117,16.10,9.65,11.5,3.29
Deyonta Davis ,3500,ATL,C,MIL,,12.00,26.41,1,232.5,130,114.75,4,22.25,2.30,11.13,3.18
Jaylen Adams,3500,ATL,SG,MIL,,15.00,35.30,1,232.5,130,114.75,4,15.20,9.11,10.86,3.1
Salah Mejri,3600,DAL,C,@ OKC,,10.00,34.19,25,218,750,102.75,-2.25,21.33,3.16,10.67,2.96
Torrey Craig,3500,DEN,SG,WAS,,13.00,25.17,15,225.5,-650,118,118,20.43,2.32,10.22,2.92
Garrett Temple,4000,LAC,SG,MEM,,15.00,21.38,13,222.5,-450,116,116,22.85,3.18,11.43,2.86
Quinn Cook,3500,GSW,PG,CHA,,15.00,35.83,7,230,-700,120.5,-0.25,19.33,1.84,9.67,2.76
Corey Brewer,3500,SAC,SF,@ SAS,,12.00,20.53,4,225.5,450,107.5,-1.25,17.47,3.33,8.74,2.5
Sam Dekker,3500,WAS,SF,@ DEN,,10.00,24.67,10,225.5,500,107.5,107.5,16.14,1.54,8.75,2.5
