entry_id,contest_id,contest_name,PG,PG,SG,SG,SF,SF,PF,PF,C,,Instructions
29294-40199,SF,Giannis,29294-12355,29294-19456,29294-58460,29294-9714,29294-9646,29294-18821,29294-9957,29294-9598,29294-58253,,,,
29294-9488,SF,LeBron,29294-12355,29294-24247,29294-58460,29294-9799,29294-9646,29294-18821,29294-42156,29294-9957,29294-58253,,,,
29294-9646,SF,Kevin,29294-14507,29294-19456,29294-58460,29294-9799,29294-9646,29294-18821,29294-42156,29294-9957,29294-58253,,,,
29294-9524,PG,Stephen,29294-12355,29294-19456,29294-9714,29294-9799,29294-9646,29294-18821,29294-42156,29294-9957,29294-14516,,,,
29294-58462,C,Karl-Anthony,29294-12355,29294-24247,29294-58460,29294-9799,29294-9646,29294-18821,29294-42156,29294-9957,29294-58253,,,,
29294-20848,PG,Damian,29294-20848,29294-12355,29294-58460,29294-9799,29294-18821,29294-42156,29294-9957,29294-58253,,,,
29294-12332,PG,John,29294-12355,29294-19456,29294-58460,29294-9799,29294-9646,29294-42156,29294-9598,29294-58253,,,,
29294-14513,SF,Kawhi,29294-12355,29294-19456,29294-58460,29294-9799,29294-9646,29294-18821,29294-9688,29294-9451,29294-58253,,,,
29294-14528,SG,Jimmy,29294-12355,29294-24247,29294-58460,29294-9799,29294-9646,29294-18821,29294-42156,29294-9957,29294-58253,,,,
29294-14507,PG,Kemba,29294-12355,29294-19456,29294-58460,29294-9714,29294-9646,29294-18821,29294-42156,29294-9957,29294-58378,,,,
