"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"29725-9642","PG","Russell","Russell Westbrook","Westbrook","52.45000203450521","6","12000","NO@OKC","OKC","NO","","","","",""
"29725-15755","PF","Anthony","Anthony Davis","Davis","60.3500010172526","6","11800","NO@OKC","NO","OKC","GTD","Elbow","","",""
"29725-9644","SG","James","James Harden","Harden","49.73999938964844","5","11100","HOU@IND","HOU","IND","","","","",""
"29725-9524","PG","Stephen","Stephen Curry","Curry","49.279998779296875","10","10700","MEM@GS","GS","MEM","","","","",""
"29725-9646","SF","Kevin","Kevin Durant","Durant","48.48999938964844","10","10700","MEM@GS","GS","MEM","","","","",""
"29725-14513","SF","Kawhi","Kawhi Leonard","Leonard","46.51428658621652","7","10100","TOR@UTA","TOR","UTA","GTD","Foot","","",""
"29725-12341","SF","Paul","Paul George","George","43.037498474121094","8","9600","NO@OKC","OKC","NO","","","","",""
"29725-14528","SG","Jimmy","Jimmy Butler","Butler","43.5","7","9500","MIN@LAC","MIN","LAC","GTD","Rest","","",""
"29725-55062","C","Nikola","Nikola Jokic","Jokic","45.72222222222222","9","9500","BOS@DEN","DEN","BOS","","","","",""
"29725-58462","C","Karl-Anthony","Karl-Anthony Towns","Towns","39.77000122070312","10","9400","MIN@LAC","MIN","LAC","","","","",""
"29725-9560","PF","Blake","Blake Griffin","Griffin","48.54999923706055","8","9400","MIA@DET","DET","MIA","","","","",""
"29725-15557","C","Andre","Andre Drummond","Drummond","41.26250076293945","8","9200","MIA@DET","DET","MIA","","","","",""
"29725-15684","SG","Victor","Victor Oladipo","Oladipo","41.61000061035156","10","9100","HOU@IND","IND","HOU","","","","",""
"29725-14514","C","Nikola","Nikola Vucevic","Vucevic","42.333333333333336","9","9000","CLE@ORL","ORL","CLE","","","","",""
"29725-40203","C","Rudy","Rudy Gobert","Gobert","42.71111043294271","9","9000","TOR@UTA","UTA","TOR","","","","",""
"29725-12363","C","Hassan","Hassan Whiteside","Whiteside","37.61249923706055","8","8600","MIA@DET","MIA","DET","O","Knee","","",""
"29725-9581","C","Marc","Marc Gasol","Gasol","37.23749923706055","8","8600","MEM@GS","MEM","GS","","","","",""
"29725-9663","SG","Jrue","Jrue Holiday","Holiday","38.911112467447914","9","8600","NO@OKC","NO","OKC","","","","",""
"29725-9874","PF","Kevin","Kevin Love","Love","39.45000076293945","4","8500","CLE@ORL","CLE","ORL","O","Toe","","",""
"29725-9623","PG","Chris","Chris Paul","Paul","44.03333536783854","6","8500","HOU@IND","HOU","IND","","","","",""
"29725-14522","SF","Nikola","Nikola Mirotic","Mirotic","40.67777845594618","9","8400","NO@OKC","NO","OKC","","","","",""
"29725-9535","PG","Kyle","Kyle Lowry","Lowry","44.16000061035156","10","8300","TOR@UTA","TOR","UTA","","","","",""
"29725-40783","SG","Zach","Zach LaVine","LaVine","38.720001220703125","10","8300","CHI@NY","CHI","NY","","","","",""
"29725-15860","PF","Draymond","Draymond Green","Green","35.65","10","8300","MEM@GS","GS","MEM","","","","",""
"29725-66113","SG","Donovan","Donovan Mitchell","Mitchell","35.36249923706055","8","8200","TOR@UTA","UTA","TOR","O","Ankle","","",""
"29725-55059","C","Clint","Clint Capela","Capela","36.92499923706055","8","8200","HOU@IND","HOU","IND","","","","",""
"29725-9575","PG","Mike","Mike Conley","Conley","35.26250076293945","8","8000","MEM@GS","MEM","GS","","","","",""
"29725-15846","SG","Tim","Tim Hardaway Jr.","Hardaway Jr.","32.72999877929688","10","7900","CHI@NY","NY","CHI","GTD","Back","","",""
"29725-84676","PF","Wendell","Wendell Carter Jr.","Carter Jr.","30.420001220703124","10","7800","CHI@NY","CHI","NY","","","","",""
"29725-14498","PG","Kyrie","Kyrie Irving","Irving","33.51111178927951","9","7700","BOS@DEN","BOS","DEN","","","","",""
"29725-14518","PF","Tobias","Tobias Harris","Harris","35.05555555555556","9","7700","MIN@LAC","LAC","MIN","","","","",""
"29725-66108","PG","Jamal","Jamal Murray","Murray","29.11111111111111","9","7300","BOS@DEN","DEN","BOS","","","","",""
"29725-41594","PF","Aaron","Aaron Gordon","Gordon","30.74444580078125","9","7300","CLE@ORL","ORL","CLE","","","","",""
"29725-16233","SF","Josh","Josh Richardson","Richardson","34.04999923706055","8","7300","MIA@DET","MIA","DET","","","","",""
"29725-24544","SG","Gary","Gary Harris","Harris","31.944444444444443","9","7300","BOS@DEN","DEN","BOS","","","","",""
"29725-23169","C","Steven","Steven Adams","Adams","35.18571472167969","7","7200","NO@OKC","OKC","NO","","","","",""
"29725-19138","PG","Elfrid","Elfrid Payton","Payton","29.2","5","6900","NO@OKC","NO","OKC","O","Ankle","","",""
"29725-9637","SF","Danilo","Danilo Gallinari","Gallinari","31.511111789279514","9","6900","MIN@LAC","LAC","MIN","","","","",""
"29725-23802","PG","Kris","Kris Dunn","Dunn","20.299999237060547","1","6800","CHI@NY","CHI","NY","O","Knee","","",""
"29725-14516","C","Enes","Enes Kanter","Kanter","30.7","10","6700","CHI@NY","NY","CHI","","","","",""
"29725-17333","SF","Will","Will Barton","Barton","30","2","6700","BOS@DEN","DEN","BOS","O","Groin","","",""
