Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS
2019-04-01,Eric Bledsoe,7800,MIL,PG,@ BKN,,32.0,38.15,14,230.0,-110,115.5,115.5,67.98,14.42,34.09,4.37,W,34,10,19,0.526,3,9,0.333,6,6,1.0,0,5,5,7,5,2,4,4,29,21,62.5
2019-04-01,Josh Jackson,5300,PHO,PF,CLE,,30.0,24.94,14,224.0,-125,113.0,113.0,63.51,9.34,31.77,5.99,W,34,7,11,0.636,2,3,0.667,3,4,0.75,1,9,10,4,1,5,0,4,19,7,55.0
2019-04-01,Andre Drummond,10700,DET,C,@ IND,,35.0,28.6,4,203.5,190,99.0,99.0,71.34,26.4,50.96,4.76,L,37,8,18,0.444,0,1,0.0,2,5,0.4,7,10,17,5,4,0,3,4,18,-10,54.9
2019-04-01,Kemba Walker,9200,CHA,PG,@ UTA,,37.0,35.74,2,219.5,500,104.0,0.75,74.92,18.51,41.05,4.46,L,37,15,28,0.536,4,8,0.5,13,15,0.867,0,5,5,3,0,0,3,1,47,-15,54.5
2019-04-01,Goran Dragic,6000,MIA,PG,@ BOS,,34.0,20.64,17,213.0,230,103.0,103.0,56.78,13.66,32.84,5.47,L,39,12,20,0.6,3,9,0.333,3,3,1.0,0,1,1,5,5,0,3,3,30,-3,50.7
2019-04-01,Al Horford,7300,BOS,C,MIA,,30.0,30.28,14,213.0,-275,110.0,110.0,50.37,15.77,32.25,4.42,W,34,7,13,0.5379999999999999,0,1,0.0,5,5,1.0,4,7,11,10,1,0,1,1,19,10,49.2
2019-04-01,Danny Green,4200,TOR,SG,ORL,,26.0,22.55,4,216.5,-300,111.75,111.75,32.66,7.19,20.53,4.89,W,28,11,15,0.733,7,10,0.7,0,0,,0,5,5,1,2,3,3,2,29,19,48.5
2019-04-01,Myles Turner,8300,IND,C,DET,,32.0,28.31,6,203.5,-225,104.5,104.5,71.56,12.2,36.64,4.41,W,34,5,7,0.7140000000000001,2,3,0.667,5,6,0.833,0,6,6,0,3,5,0,2,17,-4,48.2
2019-04-01,Rudy Gobert,10500,UTA,C,CHA,,34.0,29.86,7,219.5,-650,115.5,0.75,68.72,22.74,42.58,4.06,W,39,8,10,0.8,0,0,,2,7,0.28600000000000003,2,16,18,1,0,3,2,5,18,22,48.1
2019-04-01,Giannis Antetokounmpo,12400,MIL,SF,@ BKN,,34.0,30.39,15,230.0,-110,115.5,115.5,79.41,32.9,56.72,4.57,W,30,9,23,0.391,1,3,0.333,9,11,0.818,5,6,11,2,1,1,4,4,28,6,46.2
2019-04-01,Donovan Mitchell,9000,UTA,SG,CHA,,35.0,36.42,7,219.5,-650,115.5,0.75,64.55,16.38,39.29,4.37,W,37,8,17,0.471,4,7,0.5710000000000001,5,6,0.833,0,3,3,5,4,0,2,3,25,22,46.1
2019-04-01,Bam Adebayo,7200,MIA,PF,@ BOS,,30.0,31.52,12,213.0,230,103.0,103.0,55.54,9.75,32.27,4.48,L,31,8,12,0.667,1,1,1.0,2,2,1.0,4,10,14,2,0,2,0,3,19,-2,44.8
2019-04-01,Enes Kanter,6400,POR,C,@ MIN,,26.0,29.61,5,225.0,-160,114.25,1.0,48.28,13.0,30.73,4.8,W,26,7,10,0.7,0,1,0.0,6,8,0.75,6,5,11,1,0,4,2,3,20,2,44.7
2019-04-01,Bojan Bogdanovic,6500,IND,SF,DET,,35.0,22.92,20,203.5,-225,104.5,104.5,49.44,9.54,30.98,4.77,W,37,7,16,0.438,1,3,0.333,4,4,1.0,1,6,7,6,3,0,1,3,19,5,44.4
2019-04-01,Evan Turner,3500,POR,SF,@ MIN,,11.0,24.6,12,225.0,-160,114.25,1.0,14.27,2.6,9.24,2.64,W,25,5,5,1.0,1,1,1.0,2,2,1.0,2,9,11,10,1,0,1,1,13,15,43.2
2019-04-01,Karl-Anthony Towns,11000,MIN,C,POR,,35.0,29.56,11,225.0,140,110.75,1.0,80.79,27.17,51.46,4.68,L,32,6,21,0.28600000000000003,1,4,0.25,4,4,1.0,3,9,12,4,0,2,1,4,17,-6,42.4
2019-04-01,Robin Lopez,5000,CHI,C,@ NYK,,26.0,31.24,10,214.5,140,105.5,0.75,46.11,8.39,23.37,4.67,L,30,12,18,0.667,0,0,,5,8,0.625,6,1,7,2,0,1,1,2,29,-4,42.4
2019-04-01,Devin Booker,11500,PHO,SG,CLE,,37.0,41.31,26,224.0,-125,113.0,113.0,82.2,22.6,48.18,4.19,W,35,8,18,0.444,2,9,0.222,7,7,1.0,0,3,3,13,0,0,6,3,25,-6,42.1
2019-04-01,Luke Kornet,4800,NYK,PF,CHI,,30.0,28.38,7,214.5,-160,109.0,1.25,51.35,11.33,25.69,5.35,W,28,8,11,0.727,5,7,0.7140000000000001,3,3,1.0,1,5,6,1,0,3,0,2,24,2,41.7
2019-04-01,Kyle Lowry,6900,TOR,PG,ORL,,31.0,37.1,12,216.5,-300,111.75,111.75,54.95,15.45,31.67,4.59,W,27,3,6,0.5,3,6,0.5,3,4,0.75,1,5,6,7,3,1,0,3,12,19,41.7
