Name,Salaries,Team,Position,Opponent,Projected Minues,,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K
Josh Jackson,5100,PHO,PF,DEN,,32.00,43.05,6,218.5,320,105,105,60.31,24.50,32.03,6.28
Royce O'Neale,3500,UTA,SF,CHI,,28.00,38.93,20,207,-667,109.5,1.25,33.28,13.50,21.81,6.23
Dario Saric,4100,MIN,PF,NOP,,26.00,47.80,13,236,110,117.25,-1,43.46,19.51,25.4,6.2
Malik Beasley,3900,DEN,SG,@ PHO,,32.00,34.63,4,218.5,-400,113.5,113.5,47.98,24.00,24,6.15
Bam Adebayo,5000,MIA,PF,MEM,,30.00,49.03,2,196,-150,99.75,-1,50.31,24.23,30.36,6.07
James Johnson,4100,MIA,PF,MEM,,25.00,40.89,1,196,-150,99.75,-1,34.99,13.18,24.69,6.02
Dennis Schroder,5200,OKC,SG,SAS,,29.00, , ,226.5,-250,116.25,116.25,51.10,23.02,30.82,5.93
Jonathon Simmons,3500,ORL,SF,BOS,,26.00,42.85,4,213.5,240,103.25,-0.25,37.91,20.07,20.07,5.73
Torrey Craig,4300,DEN,SG,@ PHO,,30.00,34.63,4,218.5,-400,113.5,113.5,48.38,19.54,24.36,5.67
Michael Kidd-Gilchrist,3500,CHA,SF,@ SAC,,21.00,37.71,14,233.5,180,114,-0.5,33.58,12.94,19.51,5.57
Chandler Hutchison,3500,CHI,SF,@ UTA,,28.00, , ,207,500,97.5,0.25,27.15,3.70,19.39,5.54
Richaun Holmes,3800,PHO,PF,DEN,,18.00,52.72,13,218.5,320,105,105,42.04,17.52,21.03,5.53
Kelly Olynyk,4600,MIA,PF,MEM,,25.00,51.53,5,196,-150,99.75,-1,38.73,14.50,25.3,5.5
Bismack Biyombo,4100,CHA,C,@ SAC,,22.00,56.52,20,233.5,180,114,-0.5,36.31,15.60,22.03,5.37
Kelly Oubre,4900,PHO,SF,DEN,,30.00,35.74,9,218.5,320,105,105,45.10,19.47,26.13,5.33
Willy Hernangomez,4900,CHA,C,@ SAC,,20.00,56.52,20,233.5,180,114,-0.5,50.45,22.33,26.03,5.31
Mikal Bridges,4300,PHO,SF,DEN,,28.00,35.74,9,218.5,320,105,105,31.93,4.61,22.81,5.3
Marcus Morris,4800,BOS,PF,@ ORL,,27.00,33.86,3,213.5,-275,110.25,0.25,40.85,18.41,25.36,5.28
Kyle Korver,3800,UTA,SG,CHI,,24.00,33.60,9,207,-667,109.5,1.25,38.78,19.92,19.92,5.24
Gorgui Dieng,3600,MIN,C,NOP,,14.00, , ,236,110,117.25,-1,34.16,15.15,18.84,5.23
Patty Mills,3800,SAS,PG,@ OKC,,23.00,36.15,4,226.5,210,110.25,110.25,39.70,19.86,19.86,5.23
Kemba Walker,8500,CHA,PG,@ SAC,,35.00,53.21,22,233.5,180,114,-0.5,74.58,25.64,44.05,5.18
Rudy Gobert,8400,UTA,C,CHI,,35.00, , ,207,-667,109.5,1.25,66.34,21.55,43.53,5.18
Elie Okobo,3500,PHO,PG,DEN,,24.00,38.11,7,218.5,320,105,105,25.31,4.68,18.08,5.17
Joe Ingles,6100,UTA,SF,CHI,,34.00,33.60,9,207,-667,109.5,1.25,48.90,20.84,31.53,5.17
Karl-Anthony Towns,10500,MIN,C,NOP,,35.00,53.02,8,236,110,117.25,-1,77.94,27.59,53.79,5.12
Al Horford,6400,BOS,C,@ ORL,,30.00,48.58,1,213.5,-275,110.25,0.25,49.99,16.87,32.63,5.1
Jae Crowder,4800,UTA,SF,CHI,,31.00,38.93,20,207,-667,109.5,1.25,45.51,19.65,24.35,5.07
D.J. Augustin,4500,ORL,PG,BOS,,28.00,39.97,11,213.5,240,103.25,-0.25,37.90,14.22,22.76,5.06
Evan Fournier,5300,ORL,SG,BOS,,30.00,33.17,7,213.5,240,103.25,-0.25,41.52,15.02,26.72,5.04
E'Twaun Moore,4600,NOP,SF,@ MIN,,30.00,37.29,21,236,-125,118.75,2,36.58,16.46,23.08,5.02
Marvin Williams,5500,CHA,PF,@ SAC,,30.00,50.75,23,233.5,180,114,-0.5,49.48,21.80,27.52,5
Jonathan Isaac,4400,ORL,SF,BOS,,26.00,49.32,3,213.5,240,103.25,-0.25,36.05,15.99,22.02,5
Avery Bradley,3700,LAC,SG,DET,,29.00,36.81,20,221.5,-300,114.25,0.5,31.04,13.48,18.49,5
Mason Plumlee,4500,DEN,C,@ PHO,,20.00,60.51,24,218.5,-400,113.5,113.5,39.61,18.00,22.28,4.95
Patrick Beverley,3900,LAC,PG,DET,,26.00,42.78,19,221.5,-300,114.25,0.5,38.62,17.23,19.32,4.95
De'Anthony Melton,4400,PHO,PG,DEN,,28.00, , ,218.5,320,105,105,30.41,4.39,21.72,4.94
JaMychal Green,4500,MEM,PF,@ MIA,,23.00,53.77,12,196,130,96.25,0.5,41.24,19.54,22.23,4.94
Nikola Vucevic,9500,ORL,C,BOS,,33.00,49.32,3,213.5,240,103.25,-0.25,73.98,27.65,46.94,4.94
Kyrie Irving,8300,BOS,PG,@ ORL,,34.00,49.82,13,213.5,-275,110.25,0.25,57.27,23.28,40.91,4.93
TJ Warren,6800,PHO,SF,DEN,,34.00,43.05,6,218.5,320,105,105,55.13,20.33,33.33,4.9
Buddy Hield,7200,SAC,SG,CHA,,34.00,37.97,23,233.5,-214,119.5,-0.5,57.29,20.76,35.19,4.89
Jeremy Lamb,5800,CHA,SG,@ SAC,,28.00,43.87,9,233.5,180,114,-0.5,45.52,18.40,28.22,4.87
Tyus Jones,4900,MIN,PG,NOP,,26.00,49.48,24,236,110,117.25,-1,42.53,21.35,23.8,4.86
Steven Adams,7200,OKC,C,SAS,,33.00,52.06,11,226.5,-250,116.25,116.25,54.71,20.42,34.96,4.86
Aaron Gordon,7100,ORL,PF,BOS,,35.00,42.04,2,213.5,240,103.25,-0.25,54.66,22.22,34.4,4.85
Jamal Murray,7300,DEN,PG,@ PHO,,34.00, , ,218.5,-400,113.5,113.5,54.46,22.69,35.34,4.84
Josh Richardson,6500,MIA,SF,MEM,,34.00,40.82,2,196,-150,99.75,-1,49.17,19.93,31.44,4.84
Jerami Grant,5400,OKC,PF,SAS,,35.00,49.52,19,226.5,-250,116.25,116.25,51.11,23.09,26.09,4.83
Reggie Bullock,4500,DET,SG,@ LAC,,33.00,35.27,7,221.5,260,107.25,0.5,35.58,12.40,21.75,4.83
Willie Cauley-Stein,7600,SAC,C,CHA,,31.00,54.68,18,233.5,-214,119.5,-0.5,53.44,17.34,36.58,4.81
Reggie Jackson,5200,DET,PG,@ LAC,,28.00, , ,221.5,260,107.25,0.5,36.39,12.21,24.96,4.8
Paul George,9700,OKC,SF,SAS,,36.00,49.52,19,226.5,-250,116.25,116.25,69.01,26.08,46.16,4.76
Bryn Forbes,4600,SAS,PG,@ OKC,,33.00,46.19,4,226.5,210,110.25,110.25,35.59,15.89,21.86,4.75
Paul Millsap,6700,DEN,PF,@ PHO,,30.00,47.85,15,218.5,-400,113.5,113.5,51.07,20.24,31.62,4.72
Jeff Teague,7000,MIN,PG,NOP,,31.00,50.05,14,236,110,117.25,-1,51.77,16.96,32.87,4.7
LaMarcus Aldridge,8500,SAS,PF,@ OKC,,34.00,53.09,9,226.5,210,110.25,110.25,57.97,18.93,39.76,4.68
Marc Gasol,7800,MEM,C,@ MIA,,34.00,53.77,12,196,130,96.25,0.5,55.95,18.30,36.38,4.66
Harry Giles,3500,SAC,PF,CHA,,16.00,49.73,21,233.5,-214,119.5,-0.5,22.81,4.22,16.29,4.65
Andre Drummond,9800,DET,C,@ LAC,,33.00,60.66,25,221.5,260,107.25,0.5,63.69,21.33,45.49,4.64
Marcus Smart,5100,BOS,SG,@ ORL,,27.00,49.82,13,213.5,-275,110.25,0.25,35.77,14.35,23.61,4.63
Derrick Favors,6000,UTA,PF,CHI,,25.00,63.26,24,207,-667,109.5,1.25,43.96,15.83,27.72,4.62
Nikola Jokic,11000,DEN,C,@ PHO,,34.00,55.87,15,218.5,-400,113.5,113.5,71.18,21.35,50.48,4.59
Jayson Tatum,6100,BOS,PF,@ ORL,,31.00,48.34,16,213.5,-275,110.25,0.25,40.71,17.16,28,4.59
Anthony Davis,12800,NOP,PF,@ MIN,,36.00,52.48,7,236,-125,118.75,2,82.26,31.08,58.76,4.59
Jrue Holiday,8600,NOP,SG,@ MIN,,36.00,50.07,15,236,-125,118.75,2,60.27,21.44,39.42,4.58
Monte Morris,4000,DEN,SG,@ PHO,,24.00, , ,218.5,-400,113.5,113.5,25.51,4.08,18.22,4.56
Zach LaVine,6900,CHI,SG,@ UTA,,33.00,47.38,6,207,500,97.5,0.25,45.98,16.66,31.32,4.54
Marco Belinelli,3900,SAS,SG,@ OKC,,21.00,40.46,29,226.5,210,110.25,110.25,29.38,13.28,17.7,4.54
Kris Dunn,7100,CHI,PG,@ UTA,,32.00,47.38,6,207,500,97.5,0.25,50.28,15.42,32.19,4.53
De'Aaron Fox,8700,SAC,PG,CHA,,34.00,50.55,17,233.5,-214,119.5,-0.5,58.38,19.29,39.29,4.52
Garrett Temple,3800,MEM,SG,@ MIA,,30.00,36.51,18,196,130,96.25,0.5,31.71,14.43,17.16,4.52
Bogdan Bogdanovic,6300,SAC,SG,CHA,,31.00,50.70,23,233.5,-214,119.5,-0.5,53.59,23.76,28.46,4.52
Dwyane Wade,5400,MIA,SG,MEM,,22.00,40.82,2,196,-150,99.75,-1,39.71,16.93,24.36,4.51
Justise Winslow,6700,MIA,SF,MEM,,32.00, , ,196,-150,99.75,-1,45.99,16.70,30.14,4.5
Russell Westbrook,12400,OKC,PG,SAS,,36.00, , ,226.5,-250,116.25,116.25,78.08,23.98,55.77,4.5
Lauri Markkanen,6800,CHI,PF,@ UTA,,32.00,49.57,20,207,500,97.5,0.25,50.31,21.57,30.51,4.49
Josh Okogie,4200,MIN,SG,NOP,,25.00,49.53,21,236,110,117.25,-1,26.40,8.13,18.86,4.49
DeMar DeRozan,9100,SAS,SG,@ OKC,,34.00,45.20,12,226.5,210,110.25,110.25,65.67,22.20,40.74,4.48
Blake Griffin,9900,DET,PF,@ LAC,,35.00,56.87,18,221.5,260,107.25,0.5,70.61,22.84,44.27,4.47
Deandre Ayton,7800,PHO,C,DEN,,30.00,52.72,13,218.5,320,105,105,48.86,7.05,34.9,4.47
