Name,Salaries,Team,Position,Opponent,Projected Minues,,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K
Marquese Chriss,3500,CLE,PF,TOR,,23.00,30.80,15,224,360,107.5,1.75,44.05,5.36,22.52,6.43
Ante Zizic,3600,CLE,C,TOR,,29.00,29.87,7,224,360,107.5,1.75,38.15,9.70,22.94,6.37
Frank Kaminsky,4500,CHA,PF,@ HOU,,30.00,32.04,17,223.5,360,107,-1.25,55.15,5.99,27.59,6.13
Gordon Hayward,4700,BOS,SF,@ LAC,,30.00,32.89,24,227,-118,114.25,0.5,57.51,10.16,28.77,6.12
Royce O'Neale,3500,UTA,SF,OKC,,28.00,26.25,20,226,-160,114.75,-0.75,33.13,8.25,21.1,6.03
Willy Hernangomez,3500,CHA,C,@ HOU,,20.00,27.41,2,223.5,360,107,-1.25,41.72,5.38,20.87,5.96
Jeff Green,4700,WAS,SF,SAC,,29.00,32.03,20,240,-125,121,-0.75,51.10,9.77,26.41,5.62
Miles Bridges,3800,CHA,SF,@ HOU,,28.00,32.32,22,223.5,360,107,-1.25,29.64,14.71,21.17,5.57
Jeremy Lin,3600,TOR,PG,@ CLE,,19.00,43.91,29,224,-450,116.5,0.25,36.26,5.62,19.64,5.46
Ed Davis,3700,BKN,PF,DET,,20.00,31.39,13,222.5,-133,112.5,1,40.40,5.78,20.21,5.46
Bogdan Bogdanovic,5900,SAC,SG,@ WAS,,31.00,25.24,14,240,110,119,-0.75,53.43,12.77,31.92,5.41
Jaylen Brown,4600,BOS,SG,@ LAC,,30.00,25.67,17,227,-118,114.25,0.5,49.56,5.63,24.79,5.39
Marcus Morris,5100,BOS,PF,@ LAC,,30.00,25.67,17,227,-118,114.25,0.5,46.26,10.01,27.21,5.34
Tomas Satoransky ,6300,WAS,PG,SAC,,35.00,37.18,7,240,-125,121,-0.75,65.23,11.10,33.64,5.34
Clint Capela,8000,HOU,C,CHA,,34.00,29.91,8,223.5,-450,116.5,-0.75,75.38,17.90,42.02,5.25
Blake Griffin,8300,DET,PF,@ BKN,,35.00,38.58,30,222.5,115,110,0.5,80.73,24.46,43.52,5.24
Harry Giles,4500,SAC,PF,@ WAS,,21.00,28.89,11,240,110,119,-0.75,32.72,18.21,23.37,5.19
Buddy Hield,7400,SAC,SG,@ WAS,,35.00,26.66,30,240,110,119,-0.75,69.65,15.07,38.44,5.19
Jabari Parker,5800,WAS,SF,SAC,,27.00,32.03,20,240,-125,121,-0.75,58.81,4.83,29.99,5.17
Dwayne Bacon,3500,CHA,SF,@ HOU,,24.00,21.32,19,223.5,360,107,-1.25,31.64,6.77,18.06,5.16
Jeremy Lamb,6500,CHA,SG,@ HOU,,34.00,25.15,12,223.5,360,107,-1.25,66.59,9.69,33.43,5.14
Nemanja Bjelica,4600,SAC,SF,@ WAS,,25.00,28.89,11,240,110,119,-0.75,47.24,5.46,23.63,5.14
Allen Crabbe,3800,BKN,SG,DET,,27.00,22.77,24,222.5,-133,112.5,1,33.00,7.67,19.41,5.11
Al Horford,7100,BOS,C,@ LAC,,31.00,35.91,29,227,-118,114.25,0.5,58.42,18.45,36.31,5.11
Willie Cauley-Stein,5900,SAC,C,@ WAS,,27.00,32.27,19,240,110,119,-0.75,43.57,15.30,29.76,5.04
Joe Harris,4500,BKN,SF,DET,,32.00,22.77,24,222.5,-133,112.5,1,39.83,8.64,22.63,5.03
Cedi Osman,5800,CLE,SF,TOR,,33.00,26.40,23,224,360,107.5,1.75,48.39,14.27,28.82,4.97
Bobby Portis,6500,WAS,PF,SAC,,26.00,34.59,26,240,-125,121,-0.75,55.01,10.29,32.17,4.95
Trevor Ariza,6400,WAS,SF,SAC,,35.00,25.75,18,240,-125,121,-0.75,46.54,9.79,31.49,4.92
Jerami Grant,5300,OKC,PF,@ UTA,,34.00,30.82,17,226,138,111.25,-0.75,51.87,3.43,25.95,4.9
Paul George,10600,OKC,SF,@ UTA,,38.00,30.82,17,226,138,111.25,-0.75,81.69,24.95,51.77,4.88
JaMychal Green,3700,LAC,PF,BOS,,17.00,29.35,12,227,105,112.75,0.5,36.02,3.69,18.02,4.87
Harrison Barnes,6100,SAC,SF,@ WAS,,36.00,28.89,11,240,110,119,-0.75,47.03,11.57,29.58,4.85
Kyrie Irving,9800,BOS,PG,@ LAC,,36.00,41.08,24,227,-118,114.25,0.5,66.25,21.48,47.32,4.83
Jordan Clarkson,5200,CLE,SG,TOR,,26.00,27.90,23,224,360,107.5,1.75,50.15,8.73,25.09,4.83
Lou Williams,7300,LAC,SG,BOS,,29.00,26.70,19,227,105,112.75,0.5,70.20,7.80,35.12,4.81
Russell Westbrook,11300,OKC,PG,@ UTA,,36.00,34.34,2,226,138,111.25,-0.75,75.80,27.50,54.14,4.79
De'Aaron Fox,8000,SAC,PG,@ WAS,,34.00,40.30,23,240,110,119,-0.75,60.90,18.77,38.23,4.78
Steven Adams,7000,OKC,C,@ UTA,,33.00,29.84,6,226,138,111.25,-0.75,57.27,15.82,33.45,4.78
Luke Kennard,5100,DET,SG,@ BKN,,30.00,16.89,1,222.5,115,110,0.5,45.29,7.83,24.23,4.75
DeMarre Carroll,4300,BKN,SF,DET,,24.00,24.18,7,222.5,-133,112.5,1,40.76,5.26,20.39,4.74
Andre Drummond,10600,DET,C,@ BKN,,35.00,30.13,9,222.5,115,110,0.5,69.87,25.85,49.91,4.71
Montrezl Harrell,7200,LAC,PF,BOS,,28.00,29.35,12,227,105,112.75,0.5,57.39,3.97,33.68,4.68
Kemba Walker,8800,CHA,PG,@ HOU,,36.00,35.27,4,223.5,360,107,-1.25,75.04,18.55,41.12,4.67
Donovan Mitchell,8900,UTA,SG,OKC,,36.00,37.63,13,226,-160,114.75,-0.75,68.09,17.28,41.44,4.66
David Nwaba,3700,CLE,SG,TOR,,24.00,26.40,23,224,360,107.5,1.75,34.38,3.68,17.2,4.65
Jarrett Allen,6500,BKN,C,DET,,28.00,31.39,13,222.5,-133,112.5,1,60.25,13.02,30.14,4.64
D'Angelo Russell,8600,BKN,SG,DET,,32.00,38.75,17,222.5,-133,112.5,1,62.71,19.33,39.94,4.64
Bradley Beal,10800,WAS,SG,SAC,,39.00,25.81,17,240,-125,121,-0.75,73.98,26.26,49.82,4.61
P.J. Tucker,4800,HOU,PF,CHA,,33.00,25.55,16,223.5,-450,116.5,-0.75,32.94,6.77,21.99,4.58
Pascal Siakam,7700,TOR,PF,@ CLE,,32.00,25.42,2,224,-450,116.5,0.25,55.50,17.30,35.17,4.57
James Harden,12400,HOU,SG,CHA,,36.00,37.21,8,223.5,-450,116.5,-0.75,78.79,40.86,56.28,4.54
Kevin Love,8600,CLE,PF,TOR,,31.00,30.80,15,224,360,107.5,1.75,58.85,17.55,38.92,4.53
Dante Exum,3600,UTA,PG,OKC,,18.00,19.18,6,226,-160,114.75,-0.75,32.50,4.83,16.26,4.52
Danilo Gallinari,7300,LAC,SF,BOS,,32.00,26.14,1,227,105,112.75,0.5,60.20,12.36,32.86,4.5
Danny Green,4500,TOR,SG,@ CLE,,27.00,26.48,24,224,-450,116.5,0.25,31.40,6.90,20.23,4.5
Collin Sexton,5400,CLE,PG,TOR,,32.00,33.68,1,224,360,107.5,1.75,33.95,19.21,24.25,4.49
Kawhi Leonard,9800,TOR,SF,@ CLE,,32.00,24.74,9,224,-450,116.5,0.25,64.88,16.69,43.81,4.47
Kyle Korver,4500,UTA,SG,OKC,,26.00,23.24,26,226,-160,114.75,-0.75,39.80,5.24,19.91,4.42
Landry Shamet,4300,LAC,PG,BOS,,29.00,18.72,2,227,105,112.75,0.5,26.57,15.03,18.98,4.41
Marc Gasol,6000,TOR,C,@ CLE,,24.00,25.42,2,224,-450,116.5,0.25,42.63,11.47,26.43,4.41
Marcus Smart,5600,BOS,SG,@ LAC,,30.00,41.08,24,227,-118,114.25,0.5,39.93,10.32,24.45,4.37
Chris Paul,8900,HOU,PG,CHA,,33.00,37.21,8,223.5,-450,116.5,-0.75,57.01,17.77,38.89,4.37
Aron Baynes,3500,BOS,C,@ LAC,,14.00,35.81,29,227,-118,114.25,0.5,30.38,3.04,15.2,4.34
Brandon Knight,3500,CLE,PG,TOR,,23.00,33.68,1,224,360,107.5,1.75,30.38,3.66,15.2,4.34
Thon Maker,3500,DET,C,@ BKN,,18.00,30.13,9,222.5,115,110,0.5,30.30,3.79,15.16,4.33
Garrett Temple,3500,LAC,SG,BOS,,19.00,18.72,2,227,105,112.75,0.5,30.04,3.70,15.03,4.29
