Name,Salaries,Team,Position,Opponent,Projected Minues,,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K
Josh Okogie,3800,MIN,SG,ORL,,32.00,46.64,19,214,-160,109,109,27.21,4.85,26.81,7.06
Daniel Theis,3700,BOS,PF,DAL,,23.00,50.26,5,212.5,-175,108.25,108.25,40.49,21.79,24.1,6.51
Dario Saric,3600,MIN,PF,ORL,,24.00,48.64,18,214,-160,109,109,36.15,17.48,21.53,5.98
Lance Stephenson,3700,LAL,SF,NYK,,24.00,48.08,23,222,-214,113.75,113.75,35.74,16.85,21.12,5.71
Chandler Hutchison,3500,CHI,SF,IND,,30.00,35.21,11,200.5,210,97,-1,21.29,4.49,19.62,5.61
Jaylen Brown,4500,BOS,SG,DAL,,32.00,36.51,15,212.5,-175,108.25,108.25,47.37,20.82,25.05,5.57
Brandon Ingram,6900,LAL,SF,NYK,,40.00,48.08,23,222,-214,113.75,113.75,57.51,23.59,38.11,5.52
Terry Rozier,6100,BOS,PG,DAL,,34.00,47.19,21,212.5,-175,108.25,108.25,49.36,21.61,33.35,5.47
Alec Burks,4500,CLE,SG,UTA,,29.00,38.98,1,208.5,400,99.25,-0.5,34.49,17.51,24.46,5.44
Jayson Tatum,6100,BOS,PF,DAL,,33.00,46.04,9,212.5,-175,108.25,108.25,42.05,17.27,33.14,5.43
Hassan Whiteside,7000,MIA,C,WAS,,27.00,56.26,22,212,-250,109.25,-1.5,47.92,17.91,37.94,5.42
Dennis Schroder,5300,OKC,SG,@ POR,,30.00,47.50,7,224,-105,111.5,-0.25,43.23,22.27,28.33,5.35
Tim Hardaway Jr.,6100,NYK,SG,@ LAL,,34.00,50.09,29,222,180,108.25,108.25,50.31,21.98,32.52,5.33
Lonzo Ball,6800,LAL,PG,NYK,,38.00,41.81,20,222,-214,113.75,113.75,47.97,18.16,36.04,5.3
TJ Warren,6200,PHO,SF,LAC,,35.00,48.39,24,234.5,163,115,1,43.62,18.68,32.6,5.26
Kelly Oubre,3800,PHO,SF,LAC,,24.00,34.55,8,234.5,163,115,1,34.40,16.32,19.93,5.24
